doc,kind,title,line_start,line_end,scripts,hash,last_changed
introduction,front,(front matter),1,139,v1_e8_glue.py;v3_em_alpha.py,f6539c898ae3,2026-06-24
introduction,section,What this is about: the jump in construction principle,140,142,,04fdafccd10b,2026-06-12
introduction,subsection,In plain words,143,180,v353_selfloop_capstone.py,5df81b3808e2,2026-07-22
introduction,subsection,"Sharper still: one anchor $a=(1,1,2)$, and $E_8$ as a compiler hull \texorpdfstring{(\mE)}{}",181,314,v119_review_validation_2.py;v189_riemann_roch_carrier.py;v197_rr_carrier_clifford_d5.py;v23_anchor_generator.py;v491_p2_partition_corollary.py;v499_p2_weights_deligne_bg.py;v503_qgeo_emergence_light.py;v506_seam_clock_rigidity.py;v507_seam_bit_origin.py;v510_seam_bit_freedom.py;v512_seam_tau_flag.py,71a7e93746ce,2026-07-24
introduction,subsection,The companion documents,315,347,,cb43f67f0b4b,2026-06-14
introduction,section,The architecture at a glance,348,426,,c457aefc1cb7,2026-06-12
introduction,section,The dependency DAG and the proof ledger,427,485,,fe77a4e2e658,2026-06-12
introduction,subsection,The compact status formula: three honest layers,486,520,v14_carrier_uniqueness.py;v56_unique_attractor.py;v60_lambda_metrology_branch.py;v6_bootstrap.py,2d4a24585ce5,2026-07-22
introduction,subsection,The hard reduction: the live residual as typed interfaces,521,662,v14_carrier_uniqueness.py;v219_icosahedral_mckay.py;v232_e8_kleinian_seam.py;v234_seam_holomorphy_selection.py;v235_seam_chern_simons.py;v23_anchor_generator.py;v335_seam_equiv_unify.py;v36_spectral_action_g2.py;v6_bootstrap.py,cc9dd996cd0b,2026-07-23
introduction,section,The compiler: why $30=2\cdot3\cdot5$,663,733,v219_icosahedral_mckay.py;v223_coxeter_totative_clock.py;v298_e8_network_attractor.py;v299_hypergraph_0d_autonomous.py;v312_hypergraph_substrate.py;v324_hypergraph_fiber.py;v327_hypergraph_rewrite.py;v395_hypergraph_coupled.py;v396_phi0_icosahedral.py,d7ace62c85ab,2026-06-24
introduction,section,The $\mu_4$ glue: how $E_8$ is really built,734,758,v1_e8_glue.py,e76c4fe33c1d,2026-06-12
introduction,section,How derivation now works: the derivation map,759,797,,14e40212ef8c,2026-06-12
introduction,subsection,Cosmology is the Pascal action grammar of the carrier,798,834,v18_quark_yukawa.py;v20_lepton_c_derivation.py;v46_grand_mass_volume.py,3f28610d2349,2026-06-24
introduction,section,"Physical, geometric, topological: why the architecture is plausible",835,849,,5a4228cd0587,2026-06-12
introduction,section,What role $E_8$ now plays exactly,850,875,,07ec9c971cd7,2026-06-12
introduction,section,What this means for the theory-of-everything question,876,941,,42711c7b80a6,2026-07-22
introduction,subsection,"The closure ledger: what is done, and what genuinely remains",942,1034,,108c638d38e3,2026-07-22
introduction,section,TFPT in the light of algorithmic physics: Zuse--Schmidhuber--Wolfram,1035,1051,,ba6ca0b2afb6,2026-07-14
introduction,subsection,Three shared instincts,1052,1071,,9ea479076763,2026-07-14
introduction,subsection,Three deliberate divergences,1072,1103,,739b95c8e428,2026-07-14
introduction,section,Does this make the theory more probable?,1104,1121,,540397fd6436,2026-06-12
introduction,section,Predictions for running and upcoming experiments,1122,1192,v100_numerology_null_mc.py;v84_frozen_registry.py,aebe6e44a5a3,2026-06-12
introduction,section,Conclusion,1193,1204,,85f94f17b1dd,2026-06-12
introduction,section,Appendix: computational verification (reproducibility),1205,1248,v1_e8_glue.py,4dd8212d1341,2026-07-14
tfpt_1_architecture_e8,front,(front matter),1,146,,31add055d84c,2026-06-12
